table_name,constraint_name,definition
users,users_tier_check,"CHECK ((tier = ANY (ARRAY['free'::text, 'core_monthly'::text, 'founder_lifetime'::text])))"
businesses,businesses_accent_color_check,"CHECK (((accent_color IS NULL) OR (accent_color = ANY (ARRAY['terracotta'::text, 'sage'::text, 'navy'::text, 'charcoal'::text, 'sienna'::text, 'forest'::text, 'brass'::text, 'ink'::text]))))"
businesses,businesses_accent_color_override_check,"CHECK (((accent_color_override IS NULL) OR (accent_color_override = ANY (ARRAY['terracotta'::text, 'sage'::text, 'navy'::text, 'charcoal'::text, 'sienna'::text, 'forest'::text, 'brass'::text, 'ink'::text]))))"
businesses,businesses_eyebrow_vocab_check,"CHECK ((eyebrow_vocab = ANY (ARRAY['standard'::text, 'editorial'::text, 'operator'::text])))"
businesses,businesses_hero_cta_type_check,"CHECK (((hero_cta_type IS NULL) OR (hero_cta_type = ANY (ARRAY['calendly'::text, 'email_capture'::text, 'stripe'::text]))))"
businesses,businesses_hero_font_check,"CHECK (((hero_font IS NULL) OR (hero_font = ANY (ARRAY['fraunces'::text, 'playfair'::text, 'dm_serif'::text, 'manrope'::text, 'cormorant'::text, 'space_grotesk'::text]))))"
businesses,businesses_hero_layout_check,"CHECK (((hero_layout IS NULL) OR (hero_layout = ANY (ARRAY['photo'::text, 'type'::text]))))"
businesses,businesses_stripe_connect_account_status_check,"CHECK (((stripe_connect_account_status IS NULL) OR (stripe_connect_account_status = ANY (ARRAY['not_started'::text, 'onboarding'::text, 'restricted'::text, 'active'::text, 'disabled'::text]))))"
tasks,tasks_kind_check,"CHECK ((kind = ANY (ARRAY['manual'::text, 'system'::text, 'scheduled'::text])))"
tasks,tasks_output_type_check,"CHECK ((output_type = ANY (ARRAY['document'::text, 'configured'::text, 'image'::text, 'image_set'::text, 'structured_data'::text, 'video'::text])))"
business_context,business_context_research_confidence_score_check,CHECK (((research_confidence_score >= 0) AND (research_confidence_score <= 100)))
email_queue,email_queue_status_check,"CHECK ((status = ANY (ARRAY['pending'::text, 'approved'::text, 'rejected'::text, 'sent'::text, 'failed'::text])))"
business_assets,business_assets_asset_type_check,"CHECK ((asset_type = ANY (ARRAY['document'::text, 'image'::text, 'website'::text, 'email'::text, 'tweet'::text, 'lean_canvas'::text, 'mission_dashboard'::text, 'daycycle_locations'::text, 'logo'::text, 'app'::text, 'app_draft'::text])))"
lessons,lessons_tier_check,"CHECK ((tier = ANY (ARRAY['free'::text, 'paid'::text])))"
badges,badges_tier_check,"CHECK ((tier = ANY (ARRAY['lesson'::text, 'task'::text, 'master'::text])))"
business_subscriptions,business_subscriptions_payment_source_check,"CHECK ((payment_source = ANY (ARRAY['card'::text, 'connect_revenue_share'::text, 'comp'::text])))"
business_subscriptions,business_subscriptions_status_check,"CHECK ((status = ANY (ARRAY['trialing'::text, 'active'::text, 'past_due'::text, 'canceled'::text, 'expired'::text])))"
token_transactions,token_transactions_kind_check,"CHECK ((kind = ANY (ARRAY['debit_task'::text, 'debit_image'::text, 'credit_subscription_grant'::text, 'credit_topup'::text, 'credit_refund'::text, 'credit_admin_adjust'::text])))"
token_purchases,token_purchases_bundle_slug_check,"CHECK ((bundle_slug = ANY (ARRAY['topup_10'::text, 'topup_30'::text, 'topup_75'::text])))"
token_purchases,token_purchases_status_check,"CHECK ((status = ANY (ARRAY['pending'::text, 'succeeded'::text, 'failed'::text, 'refunded'::text])))"
app_errors,app_errors_level_check,"CHECK ((level = ANY (ARRAY['error'::text, 'warn'::text])))"
external_apis,external_apis_status_check,"CHECK ((status = ANY (ARRAY['active'::text, 'deprecated'::text, 'experimental'::text])))"
task_apis,task_apis_role_check,"CHECK ((role = ANY (ARRAY['primary'::text, 'secondary'::text, 'fallback'::text])))"
app_configs,app_configs_access_gate_check,"CHECK ((access_gate = ANY (ARRAY['free'::text, 'paywall'::text, 'email'::text])))"
app_configs,app_configs_llm_tier_check,"CHECK ((llm_tier = ANY (ARRAY['haiku'::text, 'sonnet'::text, 'opus'::text])))"
app_configs,app_configs_result_gate_check,"CHECK ((result_gate = ANY (ARRAY['free'::text, 'paywall'::text, 'email'::text])))"
app_bug_log,app_bug_log_status_check,"CHECK ((status = ANY (ARRAY['open'::text, 'in_review'::text, 'resolved'::text])))"
factory_v2_app_skin,factory_v2_app_skin_skin_check,"CHECK ((skin = ANY (ARRAY['default'::text, 'two'::text, 'three'::text, 'four'::text, 'five'::text, 'six'::text])))"
plan,plan_status_check,"CHECK ((status = ANY (ARRAY['draft'::text, 'active'::text, 'archived'::text])))"
plan_phase,plan_phase_status_check,"CHECK ((status = ANY (ARRAY['pending'::text, 'active'::text, 'complete'::text])))"
phase_milestone,phase_milestone_status_check,"CHECK ((status = ANY (ARRAY['pending'::text, 'complete'::text])))"
playbook,playbook_status_check,"CHECK ((status = ANY (ARRAY['active'::text, 'complete'::text, 'archived'::text])))"
playbook_runs,playbook_runs_status_check,"CHECK ((status = ANY (ARRAY['pending'::text, 'running'::text, 'completed'::text, 'failed'::text])))"
prompt_definitions,prompt_definitions_user_prompt_template_check,CHECK ((TRIM(BOTH FROM user_prompt_template) <> ''::text))
prompt_definitions,prompt_definitions_version_check,CHECK ((version >= 1))
prompt_variables,prompt_variables_description_check,CHECK ((TRIM(BOTH FROM description) <> ''::text))
prompt_variables,prompt_variables_source_check,CHECK ((TRIM(BOTH FROM source) <> ''::text))
content_assets,content_assets_status_check,"CHECK ((status = ANY (ARRAY['draft'::text, 'approved'::text, 'scheduled'::text, 'published'::text, 'failed'::text])))"
